date,stock_id,type,value,origin_name
2008-03-31,2330,-,0.0,合併前非屬共同控制股權損益
2008-03-31,2330,CostOfGoodsSold,47864500000.0,營業成本
2008-03-31,2330,CumulativeEffectOfChangesInAccountingPrinciple,0.0,會計原則變動累積影響數
2008-03-31,2330,EPS,1.1,基本每股盈餘
2008-03-31,2330,ExtraordinaryItems,0.0,非常損益
2008-03-31,2330,GrossProfit,37365600000.0,營業毛利(毛損)
2008-03-31,2330,IncomeBeforeTaxFromContinuingOperations,31407200000.0,繼續營業單位稅前淨利(淨損)
2008-03-31,2330,IncomeFromContinuingOperations,28143400000.0,繼續營業單位淨利(淨損)
2008-03-31,2330,IncomeLossFromDiscontinuedOperation,0.0,停業單位損益
2008-03-31,2330,NetIncome,28143400000.0,本期淨利(淨損)
2008-03-31,2330,OperatingExpenses,7887160000.0,營業費用
2008-03-31,2330,OperatingIncome,29414500000.0,營業淨利(淨損)
2008-03-31,2330,RealizedGainFromInterAffiliateAccounts,0.0,聯屬公司間已實現利益
2008-03-31,2330,Revenue,85230100000.0,營業收入
2008-03-31,2330,TAX,3263770000.0,所得稅(費用)利益
2008-03-31,2330,TotalnonbusinessExpenditure,1886340000.0,營業外費用及損失
2008-03-31,2330,TotalNonbusinessIncome,3878960000.0,營業外收入及利益
2008-03-31,2330,UnrealizedGainFromInterAffiliateAccounts,63912000.0,聯屬公司間未實現利益
2008-06-30,2330,-,0.0,合併前非屬共同控制股權損益
2008-06-30,2330,CostOfGoodsSold,46244100000.0,營業成本
2008-06-30,2330,CumulativeEffectOfChangesInAccountingPrinciple,0.0,會計原則變動累積影響數
2008-06-30,2330,EPS,1.12,基本每股盈餘
2008-06-30,2330,ExtraordinaryItems,0.0,非常損益
2008-06-30,2330,GrossProfit,39350000000.0,營業毛利(毛損)
2008-06-30,2330,IncomeBeforeTaxFromContinuingOperations,32201300000.0,繼續營業單位稅前淨利(淨損)
2008-06-30,2330,IncomeFromContinuingOperations,28770500000.0,繼續營業單位淨利(淨損)
2008-06-30,2330,IncomeLossFromDiscontinuedOperation,0.0,停業單位損益
2008-06-30,2330,NetIncome,28770500000.0,本期淨利(淨損)
2008-06-30,2330,OperatingExpenses,8421050000.0,營業費用
2008-06-30,2330,OperatingIncome,30861900000.0,營業淨利(淨損)
2008-06-30,2330,RealizedGainFromInterAffiliateAccounts,0.0,聯屬公司間已實現利益
2008-06-30,2330,Revenue,85594100000.0,營業收入
2008-06-30,2330,TAX,3430840000.0,所得稅(費用)利益
2008-06-30,2330,TotalnonbusinessExpenditure,587902000.0,營業外費用及損失
2008-06-30,2330,TotalNonbusinessIncome,1927320000.0,營業外收入及利益
2008-06-30,2330,UnrealizedGainFromInterAffiliateAccounts,67065000.0,聯屬公司間未實現利益
2008-09-30,2330,-,0.0,合併前非屬共同控制股權損益
2008-09-30,2330,CostOfGoodsSold,48348400000.0,營業成本
2008-09-30,2330,CumulativeEffectOfChangesInAccountingPrinciple,0.0,會計原則變動累積影響數
2008-09-30,2330,EPS,1.14,基本每股盈餘
2008-09-30,2330,ExtraordinaryItems,0.0,非常損益
2008-09-30,2330,GrossProfit,41768300000.0,營業毛利(毛損)
2008-09-30,2330,IncomeBeforeTaxFromContinuingOperations,34274300000.0,繼續營業單位稅前淨利(淨損)
2008-09-30,2330,IncomeFromContinuingOperations,30573500000.0,繼續營業單位淨利(淨損)
2008-09-30,2330,IncomeLossFromDiscontinuedOperation,0.0,停業單位損益
2008-09-30,2330,NetIncome,30573500000.0,本期淨利(淨損)
2008-09-30,2330,OperatingExpenses,8727130000.0,營業費用
2008-09-30,2330,OperatingIncome,33007400000.0,營業淨利(淨損)
2008-09-30,2330,RealizedGainFromInterAffiliateAccounts,0.0,聯屬公司間已實現利益
2008-09-30,2330,Revenue,90116600000.0,營業收入
2008-09-30,2330,TAX,3700840000.0,所得稅(費用)利益
2008-09-30,2330,TotalnonbusinessExpenditure,-1509450000.0,營業外費用及損失
2008-09-30,2330,TotalNonbusinessIncome,-242525000.0,營業外收入及利益
2008-09-30,2330,UnrealizedGainFromInterAffiliateAccounts,33728000.0,聯屬公司間未實現利益
2008-12-31,2330,-,0.0,合併前非屬共同控制股權損益
2008-12-31,2330,CostOfGoodsSold,41132600000.0,營業成本
2008-12-31,2330,CumulativeEffectOfChangesInAccountingPrinciple,0.0,會計原則變動累積影響數
2008-12-31,2330,EPS,0.5,基本每股盈餘
2008-12-31,2330,ExtraordinaryItems,0.0,非常損益
2008-12-31,2330,GrossProfit,19693600000.0,營業毛利(毛損)
2008-12-31,2330,IncomeBeforeTaxFromContinuingOperations,12876000000.0,繼續營業單位稅前淨利(淨損)
2008-12-31,2330,IncomeFromContinuingOperations,12445800000.0,繼續營業單位淨利(淨損)
2008-12-31,2330,IncomeLossFromDiscontinuedOperation,0.0,停業單位損益
2008-12-31,2330,NetIncome,12445800000.0,本期淨利(淨損)
2008-12-31,2330,OperatingExpenses,6852040000.0,營業費用
2008-12-31,2330,OperatingIncome,13006400000.0,營業淨利(淨損)
2008-12-31,2330,RealizedGainFromInterAffiliateAccounts,0.0,聯屬公司間已實現利益
2008-12-31,2330,Revenue,60826200000.0,營業收入
2008-12-31,2330,TAX,430201000.0,所得稅(費用)利益
2008-12-31,2330,TotalnonbusinessExpenditure,1292250000.0,營業外費用及損失
2008-12-31,2330,TotalNonbusinessIncome,1161870000.0,營業外收入及利益
2008-12-31,2330,UnrealizedGainFromInterAffiliateAccounts,-164777000.0,聯屬公司間未實現利益
2009-03-31,2330,-,0.0,合併前非屬共同控制股權損益
2009-03-31,2330,CostOfGoodsSold,29717300000.0,營業成本
2009-03-31,2330,CumulativeEffectOfChangesInAccountingPrinciple,0.0,會計原則變動累積影響數
2009-03-31,2330,EPS,0.06,基本每股盈餘
2009-03-31,2330,ExtraordinaryItems,0.0,非常損益
2009-03-31,2330,GrossProfit,7842360000.0,營業毛利(毛損)
2009-03-31,2330,IncomeBeforeTaxFromContinuingOperations,749468000.0,繼續營業單位稅前淨利(淨損)
2009-03-31,2330,IncomeFromContinuingOperations,1558870000.0,繼續營業單位淨利(淨損)
2009-03-31,2330,IncomeLossFromDiscontinuedOperation,0.0,停業單位損益
2009-03-31,2330,NetIncome,1558870000.0,本期淨利(淨損)
2009-03-31,2330,OperatingExpenses,4879660000.0,營業費用
