date,stock_id,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance
2008-01-02,2330,2685,22,6606766,551,50951,48839,,1319,503,10,6606766,330,1894,2077
2008-01-03,2330,2173,6,6606766,792,52326,50951,,213,499,1,6606766,221,1615,1894
2008-01-04,2330,1213,16,6606766,1086,52437,52326,,1681,422,0,6606766,340,1533,1615
2008-01-07,2330,8983,10,6606766,704,60706,52437,,2255,565,0,6606766,1542,2510,1533
2008-01-08,2330,1602,27,6606766,1941,60340,60706,,801,418,0,6606766,428,2520,2510
2008-01-09,2330,1373,42,6606766,2504,59167,60340,,2101,685,12,6606766,798,2621,2520
2008-01-10,2330,4183,58,6606766,640,62652,59167,,1694,868,0,6606766,237,1990,2621
2008-01-11,2330,4138,16,6606766,1128,65646,62652,,1162,386,0,6606766,802,2406,1990
2008-01-14,2330,4335,63,6606775,4066,65852,65646,,1789,478,2,6606775,510,2436,2406
2008-01-15,2330,1459,8,6606775,8843,58460,65852,,2717,1109,0,6606775,1440,2767,2436
2008-01-16,2330,5307,21,6606775,898,62848,58460,,1296,1050,2,6606775,1889,3604,2767
2008-01-17,2330,4080,28,6606775,1593,65307,62848,,2210,870,0,6606775,541,3275,3604
2008-01-18,2330,3754,195,6606775,1021,67845,65307,,2924,1511,0,6606775,729,2493,3275
2008-01-21,2330,5219,33,6606775,625,72406,67845,,916,226,1,6606775,507,2773,2493
2008-01-22,2330,5948,162,6606775,3579,74613,72406,,3108,546,16,6606775,1066,3277,2773
2008-01-23,2330,1525,77,6606775,7310,68751,74613,,1092,515,0,6606775,1040,3802,3277
2008-01-24,2330,1477,50,6606775,6196,63982,68751,,2018,1034,0,6606775,1332,4100,3802
2008-01-25,2330,1638,8,6606775,4845,60767,63982,,1708,533,1,6606775,949,4515,4100
2008-01-28,2330,1128,43,6606775,1681,60171,60767,,442,415,7,6606775,948,5041,4515
2008-01-29,2330,896,37,6606775,5758,55272,60171,,875,358,23,6606775,1771,6431,5041
2008-01-30,2330,1241,83,6606775,4901,51529,55272,,1564,433,13,6606775,3443,9428,6431
2008-01-31,2330,375,93,6606775,6359,45452,51529,,2900,687,7,6606775,8218,16952,9428
2008-02-01,2330,803,90,6606775,5459,40706,45452,,2432,2025,2,6606775,3540,18465,16952
2008-02-12,2330,971,2,6606550,1689,39966,40686,,713,4996,13,6606550,1040,14496,18465
2008-02-13,2330,581,16,6606775,757,39774,39966,,336,603,41,6606775,1168,15020,14496
2008-02-14,2330,434,51,6606915,1578,38579,39774,,981,1493,17,6606915,2895,16405,15020
