date,stock_id,dividend_yield,PER,PBR
2021-01-11,2330,1.63,30.83,8.47
2021-01-12,2330,1.61,31.2,8.57
2021-01-13,2330,1.57,31.94,8.78
2021-01-14,2330,1.6,31.26,8.59
2021-01-15,2330,1.58,31.73,8.72
2021-01-18,2330,3.08,17.11,4.11
2021-01-19,2330,1.52,33.1,9.1
2021-01-20,2330,1.57,32.05,8.81
2021-01-21,2330,1.41,35.53,9.76
2021-01-22,2330,1.46,34.27,9.42
2021-01-25,2330,1.5,33.42,9.18
2021-01-26,2330,1.54,32.58,8.95
2021-01-27,2330,1.54,32.47,8.92
2021-01-28,2330,1.58,31.73,8.72
2021-01-29,2330,1.61,31.2,8.57
2021-02-01,2330,1.55,32.26,8.86
2021-02-02,2330,1.5,33.37,9.17
2021-02-03,2330,1.51,33.26,9.14
2021-02-04,2330,1.52,33.1,9.1
2021-02-05,2330,1.5,33.37,9.17
2021-02-17,2330,1.43,35.01,9.62
2021-02-18,2330,1.44,34.85,9.57
2021-02-19,2330,1.46,34.42,9.46
2021-02-22,2330,1.46,34.32,9.43
2021-02-23,2330,1.48,33.84,9.3
2021-02-24,2330,1.52,33.0,9.07
2021-02-25,2330,1.5,33.53,9.21
2021-02-26,2330,1.57,30.35,8.5
2021-03-02,2330,1.56,30.5,8.54
2021-03-03,2330,1.53,31.15,8.72
2021-03-04,2330,1.58,30.1,8.43
2021-03-05,2330,1.58,30.1,8.43
2021-03-08,2330,3.08,17.11,4.11
2021-03-09,2330,1.6,29.79,8.34
2021-03-10,2330,1.59,29.89,8.37
2021-03-11,2330,1.56,30.5,8.54
2021-03-12,2330,1.55,30.75,8.61
2021-03-15,2330,1.55,30.6,8.57
2021-03-16,2330,1.55,30.7,8.59
2021-03-17,2330,1.57,30.25,8.47
2021-03-18,2330,1.58,30.15,8.44
2021-03-19,2330,1.61,29.59,8.29
2021-03-22,2330,1.6,29.69,8.31
2021-03-23,2330,1.6,29.74,8.33
2021-03-24,2330,1.65,28.84,8.08
2021-03-25,2330,1.74,28.79,8.06
2021-03-26,2330,1.69,29.54,8.27
2021-03-29,2330,1.67,29.99,8.4
2021-03-30,2330,1.68,29.89,8.37
2021-03-31,2330,1.7,29.39,8.23
2021-04-01,2330,1.66,30.15,8.44
2021-04-06,2330,1.64,30.55,8.55
2021-04-07,2330,1.64,30.55,8.55
2021-04-08,2330,1.63,30.7,8.59
2021-04-09,2330,1.64,30.55,8.55
