date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2009-01-05,2330,41027580,1905183378,46.0,47.1,45.8,46.25,1.85,11345
2009-01-06,2330,35157456,1606405323,46.05,46.25,45.0,45.6,-0.65,8924
2009-01-07,2330,71507778,3213018856,45.95,46.45,44.2,44.55,-1.05,16340
2009-01-08,2330,89413859,3774700008,43.5,43.5,41.5,41.55,-3.0,23371
2009-01-09,2330,68264490,2819442652,40.8,42.4,40.5,41.0,-0.55,20629
2009-01-10,2330,20805255,852670187,41.0,41.45,40.5,41.0,0.0,6352
2009-01-12,2330,49297137,2023754855,40.5,41.9,40.5,41.65,0.65,13130
2009-01-13,2330,71874465,3079595728,42.8,43.95,41.7,43.8,2.15,18358
2009-01-14,2330,45983263,1996490744,43.5,44.0,43.0,43.0,-0.8,12777
2009-01-15,2330,73203550,2995218958,41.1,41.3,40.55,41.0,-2.0,19393
2009-01-16,2330,32729347,1360636781,42.0,42.0,41.15,41.7,0.7,8306
2009-01-17,2330,7747481,320762638,41.7,41.8,41.25,41.45,-0.25,2838
2009-01-19,2330,36418388,1496234808,41.0,41.4,40.9,41.0,-0.45,12445
2009-01-20,2330,81300738,3228108320,40.0,40.0,39.6,39.6,-1.4,20043
2009-01-21,2330,65396369,2602745072,39.0,40.4,38.7,40.2,0.6,15040
2009-02-02,2330,112981924,4700307991,41.2,42.35,40.55,41.8,1.6,22066
2009-02-03,2330,91379570,3917283349,43.05,43.05,42.3,42.85,1.05,14701
2009-02-04,2330,87876455,3768134770,43.0,43.05,42.75,42.9,0.05,12682
2009-02-05,2330,70831690,3041603356,42.9,43.3,42.4,42.4,-0.5,10548
2009-02-06,2330,99942595,4453600107,44.0,45.0,43.9,44.7,2.3,21981
2009-02-09,2330,104133661,4783572843,46.4,46.6,45.4,45.5,0.8,19630
2009-02-10,2330,46312399,2095917329,46.0,46.0,44.8,44.85,-0.65,10291
2009-02-11,2330,80431132,3648778017,44.0,46.1,44.0,46.05,1.2,16421
2009-02-12,2330,69802765,3191676188,46.2,46.45,44.9,45.35,-0.7,16917
2009-02-13,2330,50844075,2341219545,45.8,46.25,45.8,45.95,0.6,9472
2009-02-16,2330,51331536,2359526597,46.95,46.95,45.75,45.85,-0.1,8929
2009-02-17,2330,69151112,3037092512,45.1,45.4,43.05,43.8,-2.05,17134
2009-02-18,2330,58724207,2608716160,44.0,45.3,43.6,44.6,0.8,12844
2009-02-19,2330,66457438,3011300868,45.2,46.2,44.0,45.4,0.8,12649
