date,stock_id,stock_name,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,note
2008-01-02,2330,台積電,TW0002330008,7452879872,18967500800,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-01-03,2330,台積電,TW0002330008,7462186496,18958192640,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-01-04,2330,台積電,TW0002330008,7468988416,18951391232,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-01-07,2330,台積電,TW0002330008,7534628352,18885750784,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-01-08,2330,台積電,TW0002330008,7548459520,18871920640,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-01-09,2330,台積電,TW0002330008,7549599744,18870779904,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-01-10,2330,台積電,TW0002330008,7576665088,18843715584,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-01-11,2330,台積電,TW0002330008,7600117760,18820261888,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-01-14,2330,台積電,TW0002330008,7608049152,18812329984,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-01-15,2330,台積電,TW0002330008,7574629888,18845749248,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-01-16,2330,台積電,TW0002330008,7586248192,18834130944,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-01-17,2330,台積電,TW0002330008,7604955648,18815424512,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-01-18,2330,台積電,TW0002330008,7624037376,18796343296,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-01-21,2330,台積電,TW0002330008,7648205824,18772174848,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-01-22,2330,台積電,TW0002330008,7685986304,18734393344,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-01-23,2330,台積電,TW0002330008,7657058816,18763321344,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-01-24,2330,台積電,TW0002330008,7632547840,18787831808,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-01-25,2330,台積電,TW0002330008,7622343168,18798036992,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-01-28,2330,台積電,TW0002330008,7617860096,18802520064,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-01-29,2330,台積電,TW0002330008,7579300864,18841079808,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-01-30,2330,台積電,TW0002330008,7540432384,18879946752,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-01-31,2330,台積電,TW0002330008,7437028352,18983352320,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-02-01,2330,台積電,TW0002330008,7346915840,19073464320,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-02-04,2330,台積電,TW0002330008,7346915840,19073464320,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-02-05,2330,台積電,TW0002330008,7346915840,19073464320,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-02-12,2330,台積電,TW0002330008,7330672640,19089707008,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-02-13,2330,台積電,TW0002330008,7318273536,19102105600,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-02-14,2330,台積電,TW0002330008,7298831360,19121549312,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-02-15,2330,台積電,TW0002330008,7297508864,19122870272,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-02-18,2330,台積電,TW0002330008,7304298496,19116081152,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-02-19,2330,台積電,TW0002330008,7295440896,19124938752,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-02-20,2330,台積電,TW0002330008,7300015616,19120363520,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-02-21,2330,台積電,TW0002330008,7276222976,19144157184,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-02-22,2330,台積電,TW0002330008,7291346432,19129032704,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-02-26,2330,台積電,TW0002330008,7260230656,19160150016,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-02-27,2330,台積電,TW0002330008,7221238784,19199141888,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-03-04,2330,台積電,TW0002330008,7212297216,19208083456,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-03-06,2330,台積電,TW0002330008,7134143488,19286237184,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-03-07,2330,台積電,TW0002330008,7128796672,19291582464,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-03-14,2330,台積電,TW0002330008,7159943168,19260436480,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-03-17,2330,台積電,TW0002330008,7173117440,19247261696,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-03-18,2330,台積電,TW0002330008,7181419008,19238961152,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-03-20,2330,台積電,TW0002330008,7168117248,19252262912,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-03-21,2330,台積電,TW0002330008,7091380736,19328999424,0.0,0.0,100.0,0.0,26420379648,2007-06-29,
2008-04-01,2330,台積電,TW0002330008,6261948928,19365154816,0.0,0.0,100.0,0.0,25627103232,2008-03-24,
2008-04-03,2330,台積電,TW0002330008,6224734208,19402369024,0.0,0.0,100.0,0.0,25627103232,2008-03-24,
2008-04-29,2330,台積電,TW0002330008,6144753152,19482349568,0.0,0.0,100.0,0.0,25627103232,2008-03-24,
2008-05-05,2330,台積電,TW0002330008,6735136256,18894815232,0.0,0.0,100.0,0.0,25629949952,2008-04-30,
2008-05-06,2330,台積電,TW0002330008,6710740992,18919208960,0.0,0.0,100.0,0.0,25629949952,2008-04-30,
2008-05-07,2330,台積電,TW0002330008,6675469312,18954481664,0.0,0.0,100.0,0.0,25629949952,2008-04-30,
2008-05-08,2330,台積電,TW0002330008,6683098112,18946852864,0.0,0.0,100.0,0.0,25629949952,2008-04-30,
2008-05-09,2330,台積電,TW0002330008,6682514944,18947436544,0.0,0.0,100.0,0.0,25629949952,2008-04-30,
2008-05-12,2330,台積電,TW0002330008,6676616192,18953334784,0.0,0.0,100.0,0.0,25629949952,2008-04-30,
2008-05-13,2330,台積電,TW0002330008,6631789056,18998161408,0.0,0.0,100.0,0.0,25629949952,2008-04-30,
2008-05-14,2330,台積電,TW0002330008,6591421440,19038529536,0.0,0.0,100.0,0.0,25629949952,2008-04-30,
2008-05-15,2330,台積電,TW0002330008,6575667712,19054282752,0.0,0.0,100.0,0.0,25629949952,2008-04-30,
2008-05-16,2330,台積電,TW0002330008,6537821696,19092129792,0.0,0.0,100.0,0.0,25629949952,2008-04-30,
2008-05-20,2330,台積電,TW0002330008,6508354560,19121596416,0.0,0.0,100.0,0.0,25629949952,2008-04-30,
